Date,Open,High,Low,Close,Adj Close,Volume
2019-06-17,19.950001,20.530001,19.820000,20.299999,20.038895,3065700
2019-06-18,20.450001,20.750000,20.370001,20.639999,20.374521,3753800
2019-06-19,20.639999,21.260000,20.559999,21.170000,20.897703,3032800
2019-06-21,21.400000,21.559999,21.129999,21.430000,21.154362,4705600
2019-06-24,21.430000,21.600000,21.030001,21.580000,21.302431,2486200
2019-06-25,21.549999,21.610001,21.170000,21.170000,20.897703,4009500
2019-06-26,21.270000,21.379999,21.090000,21.150000,20.877962,2391000
2019-06-27,21.090000,21.629999,20.940001,21.360001,21.085262,2411300
2019-06-28,21.600000,21.830000,21.360001,21.360001,21.085262,2387600
2019-07-01,21.870001,21.870001,21.490000,21.580000,21.345284,3414300
2019-07-02,21.590000,21.809999,21.549999,21.559999,21.325500,2268400
2019-07-03,21.559999,21.830000,21.480000,21.700001,21.463978,2250500
2019-07-04,21.900000,22.370001,21.820000,22.200001,21.958540,2598400
2019-07-05,22.200001,22.790001,22.200001,22.400000,22.156363,4280900
2019-07-08,22.400000,22.680000,22.370001,22.530001,22.284952,1580400
2019-07-10,22.760000,23.870001,22.760000,23.690001,23.432337,5067700
2019-07-11,23.709999,23.889999,23.410000,23.600000,23.343315,2957600
2019-07-12,23.680000,23.690001,23.090000,23.090000,22.838860,2527100
2019-07-15,23.030001,23.170000,22.400000,22.400000,22.156363,3772700
2019-07-16,22.500000,22.969999,22.420000,22.510000,22.265169,6489900
2019-07-17,22.639999,22.780001,22.480000,22.530001,22.284952,3081900
2019-07-18,22.650000,22.930000,22.629999,22.750000,22.502558,1997600
2019-07-19,22.700001,22.950001,22.700001,22.790001,22.542124,2816000
2019-07-22,22.889999,22.930000,22.600000,22.600000,22.354189,1067400
2019-07-23,22.660000,22.830000,22.530001,22.580000,22.334404,1591600
2019-07-24,22.900000,23.330000,22.740000,23.000000,22.749838,5208100
2019-07-25,23.100000,23.459999,22.610001,22.790001,22.542124,3476800
2019-07-26,22.889999,23.600000,22.860001,23.360001,23.105923,3759300
